shopName,starScore,tasteScore,envScore,serScore,goodCount,middleCount,badCount
麦当劳(兴业路店),4.30,4.30,4.30,4.30,208,11,8
麦当劳(广场路店),4.10,4.10,4.20,4.10,151,12,1
麦当劳(海印广场店),4.20,4.20,4.20,4.20,387,83,26
麦当劳(棠下店),4.40,4.40,4.40,4.40,586,85,48
麦当劳(新新大道岗丰店),,4.50,4.40,4.50,184,7,0
麦当劳(番禺宾馆店),4.30,4.20,4.20,4.20,264,40,17
麦当劳(南环路得来速店),,4.50,4.50,4.50,244,25,10
麦当劳(花都宝华路店),,4.50,4.40,4.40,287,8,7
麦当劳(时代印象分店),4.40,4.40,4.40,4.40,342,13,7
麦当劳(江南酒店店),4.00,4.10,4.00,4.00,705,110,64
麦当劳(北飞粤大道得来速店),,3.60,3.60,3.80,6,1,0
麦当劳(侨建御溪谷分店),4.40,4.40,4.50,4.50,150,2,2
麦当劳(东方时代广场分店),4.20,4.20,4.20,4.10,494,104,41
麦当劳(石碁万佳汇店),,4.40,4.40,4.50,129,12,2
麦当劳(东平中路分店),4.20,4.30,4.30,4.30,179,21,4
麦当劳(太和中路店),4.30,4.30,4.30,4.30,290,24,13
麦当劳(番禺繁华路店),4.20,4.30,4.20,4.20,248,34,13
麦当劳(花都建设路店),4.20,4.20,4.20,4.20,180,15,8
麦当劳(北亭广场分店),,4.30,4.20,4.30,554,96,22
麦当劳(新市店),4.00,4.00,4.00,4.00,246,38,23
麦当劳(白云江高学苑路店),,3.80,3.80,3.80,3,0,0
麦当劳(梅山大道店),4.30,4.30,4.30,4.30,233,32,15
麦当劳(进港大道南沙城分店),,4.60,4.50,4.50,155,11,8
麦当劳(汉溪大道东二分店),4.20,4.30,4.20,4.30,396,53,36
麦当劳(沙河店),4.10,4.10,4.10,4.10,195,31,22
麦当劳(环市中路店),4.20,4.20,4.10,4.10,282,57,26
麦当劳(金融大厦店),4.20,4.10,4.20,4.20,368,78,27
麦当劳(东方宝泰广场店),4.20,4.30,4.20,4.30,412,76,31
麦当劳(增城西城路店),4.40,4.40,4.30,4.40,230,9,7
麦当劳(龙溪中路得来速店),4.10,4.20,4.20,4.20,305,49,22
麦当劳(增城大道得来速店),4.20,4.10,4.10,4.10,40,0,0
麦当劳(燕岭路店),4.20,4.30,4.20,4.30,437,57,48
麦当劳(石井店),4.00,4.10,4.00,4.00,153,29,10
麦当劳(花城大道店),4.20,4.20,4.20,4.20,446,67,33
麦当劳(增城万汇广场得来速店),4.30,4.30,4.30,4.40,80,2,1
麦当劳(黄村大道路店),,4.40,4.50,4.50,419,38,5
麦当劳(花地大道中第二分店),4.30,4.30,4.20,4.30,337,43,11
麦当劳(番禺易发商业街店),4.30,4.30,4.20,4.20,290,41,21
麦当劳(花城大道第三店),4.30,4.30,4.30,4.20,752,122,48
麦当劳(黄埔绿地缤纷城店),,4.60,4.40,4.50,202,27,7
麦当劳(鹤洞路店),4.30,4.40,4.30,4.40,284,50,14
麦当劳(华夏路店),4.30,4.40,4.30,4.30,925,151,92
麦当劳(体育东潮流站分店),4.30,4.30,4.30,4.30,142,6,4
麦当劳(盛兴大街店),4.30,4.30,4.30,4.30,281,33,12
麦当劳(天源路分店),4.30,4.30,4.20,4.20,374,62,24
麦当劳(陈家林路店),4.30,4.30,4.30,4.30,238,12,13
麦当劳(花都嘉华广场店),4.30,4.30,4.30,4.30,233,22,3
麦当劳(五羊新城店),4.20,4.20,4.30,4.20,526,99,34
麦当劳(西槎路店),4.20,4.20,4.20,4.20,339,69,27
麦当劳(大道北嘉裕太阳城分店),4.30,4.40,4.30,4.30,124,20,1
麦当劳(市新路得来速分店),4.20,4.20,4.20,4.20,117,7,2
麦当劳(白云机场第二航站区二店),,3.70,3.70,3.60,73,12,8
麦当劳(东川路云香店),4.10,4.10,4.10,4.20,87,3,0
麦当劳(海印缤缤广场店),4.20,4.30,4.30,4.20,791,133,76
麦当劳(安华汇店),4.20,4.30,4.20,4.20,283,38,20
麦当劳(富力盈凯店),4.10,4.20,4.20,4.20,284,20,13
麦当劳(开萝大道店),4.40,4.50,4.40,4.50,364,44,11
麦当劳(丽港大厦店),,4.50,4.40,4.50,338,42,20
麦当劳(花都天贵路得来速店),4.10,4.10,4.10,4.10,195,21,2
麦当劳(凤凰北路广汇天地分店),,4.60,4.60,4.60,67,0,1
麦当劳(金菊路店),,4.70,4.70,4.70,293,11,6
